,dw_nominate,govtrack_id,at_large,chamber,congress,date_of_birth,district,first_name,gender,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,office,party,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,votes_with_party_pct,opensecrets,bioguide,ideaology,Finance
10,0.414302286,412747,False,House,115,1962-01-16,12,Troy,M,False,Balderson,2019-04-08 10:25:08 -0400,,,1.0,0.86,,,R,,2,Rep.,OH,,,Representative,0.0,116.0,100.0,N00042194,B001306,"{'AgFood': '0.39899999999999997', 'DefenseGlobal': '-0.06547368421052632', 'EnergyTransport': '-0.06280000000000005', 'Finance': '0.07369999999999999', 'Health': '-0.041400000000000006', 'LaborEmployment': '0.248'}","{'Health': 120732, 'Finance, Insurance & Real Estate': 538356, 'Defense & Global Relations': 6200, 'Agriculture, Food, & Consumer Goods': 97375, 'Labor/Employment': 54500, 'Energy & Transportation': 231780}"
11,0.653,412702,False,House,115,1979-07-16,3,Jim,M,False,Banks,2019-04-08 10:25:08 -0400,,,5.0,0.41,2018,509 Cannon House Office Building,R,,2,Rep.,IN,,,Representative,0.0,1212.0,97.25,N00037185,B001299,"{'AgFood': '0.07768749999999996', 'DefenseGlobal': '-0.07235185185185185', 'EnergyTransport': '0.036499999999999984', 'Finance': '-0.11688405797101449', 'Health': '-0.2004545454545455', 'LaborEmployment': '0.06788888888888889'}","{'Health': 87175, 'Finance, Insurance & Real Estate': 183825, 'Defense & Global Relations': 154700, 'Agriculture, Food, & Consumer Goods': 34600, 'Labor/Employment': 1000, 'Energy & Transportation': 60700}"
12,0.278,412469,False,House,115,1956-01-28,11,Lou,M,False,Barletta,2019-04-08 10:25:08 -0400,,,139.0,11.47,2018,2049 Rayburn House Office Building,R,,8,Rep.,PA,,,Representative,0.0,1212.0,95.69,N00025495,B001269,"{'AgFood': '-0.019970588235294136', 'DefenseGlobal': '0.07129670329670332', 'EnergyTransport': '0.021564102564102565', 'Finance': '-0.09779136690647484', 'Health': '-0.03760256410256409', 'LaborEmployment': '-0.003666666666666667'}","{'Health': 173714, 'Finance, Insurance & Real Estate': 937261, 'Defense & Global Relations': 8975, 'Agriculture, Food, & Consumer Goods': 123090, 'Labor/Employment': 60351, 'Energy & Transportation': 425216}"
13,0.488,412541,False,House,115,1973-07-24,6,Andy,M,False,Barr,2019-04-08 10:25:08 -0400,,,22.0,1.82,2018,1427 Longworth House Office Building,R,,6,Rep.,KY,,,Representative,0.0,1212.0,97.05,N00031233,B001282,"{'AgFood': '-0.02056756756756757', 'DefenseGlobal': '0.03470085470085468', 'EnergyTransport': '0.061065217391304334', 'Finance': '-0.09883333333333334', 'Health': '-0.045337078651685396', 'LaborEmployment': '0.0215'}","{'Health': 245726, 'Finance, Insurance & Real Estate': 1900771, 'Defense & Global Relations': 26500, 'Agriculture, Food, & Consumer Goods': 281358, 'Labor/Employment': 14500, 'Energy & Transportation': 452958}"
14,-0.508,412687,False,House,115,1976-09-15,44,Nanette,F,False,Barragán,2019-04-08 10:25:08 -0400,,,31.0,2.56,2018,1320 Longworth House Office Building,D,,2,Rep.,CA,,,Representative,2.0,1212.0,94.98,N00037019,B001300,"{'AgFood': '-0.06100000000000001', 'DefenseGlobal': '-0.0741', 'EnergyTransport': '0.0006756756756756763', 'Finance': '8.771929824561022e-05', 'Health': '-0.15485714285714283', 'LaborEmployment': '0.1505'}","{'Health': 62082, 'Finance, Insurance & Real Estate': 467368, 'Defense & Global Relations': 7185, 'Agriculture, Food, & Consumer Goods': 20662, 'Labor/Employment': 184169, 'Energy & Transportation': 51618}"
15,0.528,400018,False,House,115,1949-09-15,6,Joe,M,False,Barton,2019-04-08 10:25:08 -0400,,L.,56.0,4.62,2018,2107 Rayburn House Office Building,R,,34,Rep.,TX,,,Representative,0.0,1212.0,96.44,N00005656,B000213,"{'AgFood': '0.022135135135135126', 'DefenseGlobal': '0.044843137254901945', 'EnergyTransport': '0.03815966386554621', 'Finance': '-0.10594160583941606', 'Health': '-0.07057692307692309', 'LaborEmployment': '-0.015588235294117644'}","{'Health': 32016, 'Finance, Insurance & Real Estate': 87541, 'Defense & Global Relations': 2000, 'Agriculture, Food, & Consumer Goods': 3900, 'Labor/Employment': 1000, 'Energy & Transportation': 143700}"
16,-0.586,412404,False,House,115,1953-10-03,37,Karen,F,False,Bass,2019-04-08 10:25:08 -0400,,,104.0,8.58,2018,2241 Rayburn House Office Building,D,,8,Rep.,CA,,,Representative,0.0,1212.0,93.93,N00031877,B001270,"{'AgFood': '-0.12148148148148147', 'DefenseGlobal': '0.06617894736842105', 'EnergyTransport': '0.021538961038961024', 'Finance': '-0.006849206349206356', 'Health': '0.01562121212121213', 'LaborEmployment': '0.04845454545454546'}","{'Health': 51951, 'Finance, Insurance & Real Estate': 207082, 'Defense & Global Relations': 8175, 'Agriculture, Food, & Consumer Goods': 21950, 'Labor/Employment': 96450, 'Energy & Transportation': 43600}"
17,-0.428,412565,False,House,115,1950-03-12,3,Joyce,F,False,Beatty,2019-04-08 10:25:08 -0400,,,68.0,5.61,2018,133 Cannon House Office Building,D,,6,Rep.,OH,,,Representative,2.0,1212.0,95.17,N00033904,B001281,"{'AgFood': '-0.011344827586206897', 'DefenseGlobal': '0.060831775700934586', 'EnergyTransport': '0.024662576687116557', 'Finance': '-0.042168918918918906', 'Health': '0.06186363636363638', 'LaborEmployment': '0.04845454545454546'}","{'Health': 85625, 'Finance, Insurance & Real Estate': 511681, 'Defense & Global Relations': 5000, 'Agriculture, Food, & Consumer Goods': 6500, 'Labor/Employment': 107500, 'Energy & Transportation': 74300}"
18,-0.512,400021,False,House,115,1958-01-26,34,Xavier,M,False,Becerra,2019-04-08 10:25:08 -0400,,,42.0,68.85,2018,,D,,26,Rep.,CA,,,Representative,0.0,61.0,100.0,N00009774,B000287,"{'AgFood': '-0.15458333333333332', 'DefenseGlobal': '0.14479999999999998', 'EnergyTransport': '0.036672413793103445', 'Finance': '-0.004850000000000002', 'Health': '0.1631212121212121', 'LaborEmployment': '-0.009857142857142858'}","{'Health': 52, 'Finance, Insurance & Real Estate': 2075, 'Defense & Global Relations': 0, 'Agriculture, Food, & Consumer Goods': 0, 'Labor/Employment': 0, 'Energy & Transportation': 0}"
19,-0.228,412512,False,House,115,1965-03-02,7,Ami,M,False,Bera,2019-04-08 10:25:08 -0400,,,1.0,0.08,2018,1431 Longworth House Office Building,D,,6,Rep.,CA,,,Representative,0.0,1212.0,91.21,N00030717,B001287,"{'AgFood': '-0.0952962962962963', 'DefenseGlobal': '0.051140350877192986', 'EnergyTransport': '0.011126436781609192', 'Finance': '-0.066', 'Health': '-0.039873563218390806', 'LaborEmployment': '0.02758333333333333'}","{'Health': 569131, 'Finance, Insurance & Real Estate': 559675, 'Defense & Global Relations': 49232, 'Agriculture, Food, & Consumer Goods': 87065, 'Labor/Employment': 61300, 'Energy & Transportation': 56728}"
20,0.427,412709,False,House,115,1947-02-02,1,Jack,M,False,Bergman,2019-04-08 10:25:08 -0400,,,12.0,0.99,2018,414 Cannon House Office Building,R,,2,Rep.,MI,,,Representative,0.0,1212.0,93.97,N00039533,B001301,"{'AgFood': '-0.020454545454545458', 'DefenseGlobal': '-0.07235185185185185', 'EnergyTransport': '0.0048999999999999955', 'Finance': '-0.09040277777777778', 'Health': '-0.21038235294117644', 'LaborEmployment': '0.06788888888888889'}","{'Health': 90125, 'Finance, Insurance & Real Estate': 188750, 'Defense & Global Relations': 21500, 'Agriculture, Food, & Consumer Goods': 80450, 'Labor/Employment': 25500, 'Energy & Transportation': 157800}"
21,-0.388,412657,False,House,115,1950-06-20,8,Donald,M,False,Beyer,2019-04-08 10:25:08 -0400,,,58.0,4.79,2018,1119 Longworth House Office Building,D,,4,Rep.,VA,,,Representative,1.0,1212.0,94.52,N00036018,B001292,"{'AgFood': '-0.070875', 'DefenseGlobal': '0.004904761904761899', 'EnergyTransport': '0.035787234042553163', 'Finance': '-0.03039047619047618', 'Health': '-0.016388888888888897', 'LaborEmployment': '0.1204'}","{'Health': 102282, 'Finance, Insurance & Real Estate': 598007, 'Defense & Global Relations': 135725, 'Agriculture, Food, & Consumer Goods': 29250, 'Labor/Employment': 69608, 'Energy & Transportation': 205718}"
22,0.904,412683,False,House,115,1958-11-07,5,Andy,M,False,Biggs,2019-04-08 10:25:08 -0400,,,4.0,0.33,2018,1626 Longworth House Office Building,R,,2,Rep.,AZ,,,Representative,0.0,1212.0,85.2,N00039293,B001302,"{'AgFood': '0.026230769230769203', 'DefenseGlobal': '-0.04142105263157894', 'EnergyTransport': '0.04999999999999999', 'Finance': '-0.12210344827586207', 'Health': '-0.15005263157894738', 'LaborEmployment': '-0.0009999999999999992'}","{'Health': 31437, 'Finance, Insurance & Real Estate': 156414, 'Defense & Global Relations': 36500, 'Agriculture, Food, & Consumer Goods': 11700, 'Labor/Employment': 8500, 'Energy & Transportation': 71400}"
23,0.404,412250,False,House,115,1963-02-08,12,Gus,M,False,Bilirakis,2019-04-08 10:25:08 -0400,,,53.0,4.37,2018,2112 Rayburn House Office Building,R,,14,Rep.,FL,,,Representative,0.0,1212.0,98.35,N00027462,B001257,"{'AgFood': '-0.02835714285714285', 'DefenseGlobal': '0.03336206896551723', 'EnergyTransport': '0.06724087591240874', 'Finance': '-0.09098675496688746', 'Health': '-0.033176470588235314', 'LaborEmployment': '0.0215'}","{'Health': 462385, 'Finance, Insurance & Real Estate': 373913, 'Defense & Global Relations': 19000, 'Agriculture, Food, & Consumer Goods': 60600, 'Labor/Employment': 2000, 'Energy & Transportation': 176150}"
24,-0.281,400030,False,House,115,1947-02-04,2,Sanford,M,False,Bishop,2019-04-08 10:25:08 -0400,,D.,46.0,3.8,2018,2407 Rayburn House Office Building,D,,26,Rep.,GA,,Jr.,Representative,1.0,1212.0,91.39,N00002674,B000490,"{'AgFood': '-0.08816666666666666', 'DefenseGlobal': '0.048289999999999986', 'EnergyTransport': '0.026119999999999973', 'Finance': '-0.050777070063694245', 'Health': '-0.011915492957746483', 'LaborEmployment': '0.04845454545454546'}","{'Health': 51525, 'Finance, Insurance & Real Estate': 226888, 'Defense & Global Relations': 54000, 'Agriculture, Food, & Consumer Goods': 245336, 'Labor/Employment': 147000, 'Energy & Transportation': 97000}"
25,0.451,412635,False,House,115,1967-03-18,8,Mike,M,False,Bishop,2019-04-08 10:25:08 -0400,,,54.0,4.46,2018,428 Cannon House Office Building,R,,4,Rep.,MI,,,Representative,0.0,1212.0,95.32,N00036449,B001293,"{'AgFood': '-0.04966666666666667', 'DefenseGlobal': '0.004012345679012342', 'EnergyTransport': '0.0350886075949367', 'Finance': '-0.07031304347826087', 'Health': '-0.04841818181818184', 'LaborEmployment': '0.014230769230769233'}","{'Health': 295207, 'Finance, Insurance & Real Estate': 1074303, 'Defense & Global Relations': 52400, 'Agriculture, Food, & Consumer Goods': 81149, 'Labor/Employment': 8000, 'Energy & Transportation': 334119}"
26,0.53,400029,False,House,115,1951-07-13,1,Rob,M,False,Bishop,2019-04-08 10:25:08 -0400,,,33.0,2.72,2018,123 Cannon House Office Building,R,,16,Rep.,UT,,,Representative,0.0,1212.0,97.27,N00025292,B001250,"{'AgFood': '0.018861111111111092', 'DefenseGlobal': '0.035509433962264136', 'EnergyTransport': '0.08010077519379846', 'Finance': '-0.09082312925170069', 'Health': '-0.05694186046511628', 'LaborEmployment': '0.022368421052631583'}","{'Health': 40700, 'Finance, Insurance & Real Estate': 282600, 'Defense & Global Relations': 51000, 'Agriculture, Food, & Consumer Goods': 48650, 'Labor/Employment': 35000, 'Energy & Transportation': 239600}"
27,0.58,412478,False,House,115,1951-01-16,6,Diane,F,False,Black,2019-04-08 10:25:08 -0400,,,320.0,26.4,2018,1131 Longworth House Office Building,R,,8,Rep.,TN,,,Representative,0.0,1212.0,98.42,N00031539,B001273,"{'AgFood': '0.018170731707317082', 'DefenseGlobal': '0.043615384615384604', 'EnergyTransport': '0.06509302325581393', 'Finance': '-0.10817322834645669', 'Health': '-0.002552238805970145', 'LaborEmployment': '0.007999999999999998'}","{'Health': 103193, 'Finance, Insurance & Real Estate': 72100, 'Defense & Global Relations': 3250, 'Agriculture, Food, & Consumer Goods': 6000, 'Labor/Employment': 0, 'Energy & Transportation': 13250}"
28,0.615,400032,False,House,115,1952-06-06,7,Marsha,F,False,Blackburn,2019-04-08 10:25:08 -0400,,,196.0,16.17,2018,2266 Rayburn House Office Building,R,,16,Rep.,TN,,,Representative,0.0,1212.0,96.64,N00003105,B001243,"{'AgFood': '-0.03318181818181818', 'DefenseGlobal': '-0.003480000000000015', 'EnergyTransport': '0.06422131147540983', 'Finance': '-0.11484671532846714', 'Health': '-0.05540789473684211', 'LaborEmployment': '-0.003666666666666667'}","{'Health': 985117, 'Finance, Insurance & Real Estate': 2899934, 'Defense & Global Relations': 42026, 'Agriculture, Food, & Consumer Goods': 269153, 'Labor/Employment': 12395, 'Energy & Transportation': 875599}"
29,0.527,412627,False,House,115,1955-04-26,1,Rod,M,False,Blum,2019-04-08 10:25:08 -0400,,,67.0,5.53,2018,1108 Longworth House Office Building,R,,4,Rep.,IA,,,Representative,2.0,1212.0,90.18,N00033744,B001294,"{'AgFood': '-0.00716666666666667', 'DefenseGlobal': '0.011279999999999998', 'EnergyTransport': '0.10588636363636357', 'Finance': '-0.08833913043478261', 'Health': '-0.04742622950819672', 'LaborEmployment': '0.0035714285714285726'}","{'Health': 77123, 'Finance, Insurance & Real Estate': 442214, 'Defense & Global Relations': 15400, 'Agriculture, Food, & Consumer Goods': 141585, 'Labor/Employment': 6500, 'Energy & Transportation': 188904}"
30,-0.427,400033,False,House,115,1948-08-16,3,Earl,M,False,Blumenauer,2019-04-08 10:25:08 -0400,,,73.0,6.02,2018,1111 Longworth House Office Building,D,,24,Rep.,OR,,,Representative,2.0,1212.0,92.68,N00007727,B000574,"{'AgFood': '-0.08871874999999999', 'DefenseGlobal': '0.06831868131868131', 'EnergyTransport': '0.02765822784810126', 'Finance': '-0.03362096774193549', 'Health': '0.008725806451612897', 'LaborEmployment': '0.04845454545454546'}","{'Health': 195575, 'Finance, Insurance & Real Estate': 511673, 'Defense & Global Relations': 19100, 'Agriculture, Food, & Consumer Goods': 51833, 'Labor/Employment': 124250, 'Energy & Transportation': 143112}"
31,-0.324,412689,True,House,115,1962-02-10,At-Large,Lisa,F,False,Blunt Rochester,2019-04-08 10:25:08 -0400,,,19.0,1.57,2018,1123 Longworth House Office Building,D,,2,Rep.,DE,,,Representative,2.0,1212.0,95.54,N00038414,B001303,"{'AgFood': '-0.04880000000000001', 'DefenseGlobal': '-0.06675510204081632', 'EnergyTransport': '-0.01036111111111111', 'Finance': '-0.04702985074626864', 'Health': '-0.16684374999999999', 'LaborEmployment': '0.1505'}","{'Health': 68536, 'Finance, Insurance & Real Estate': 473098, 'Defense & Global Relations': 13776, 'Agriculture, Food, & Consumer Goods': 80022, 'Labor/Employment': 164001, 'Energy & Transportation': 42323}"
32,-0.392,412501,False,House,115,1954-10-14,1,Suzanne,F,False,Bonamici,2019-04-08 10:25:08 -0400,,,7.0,0.58,2018,439 Cannon House Office Building,D,,8,Rep.,OR,,,Representative,2.0,1212.0,93.75,N00033474,B001278,"{'AgFood': '-0.13651724137931034', 'DefenseGlobal': '0.055339449541284405', 'EnergyTransport': '0.02573214285714283', 'Finance': '-0.0029076923076923147', 'Health': '0.025515151515151543', 'LaborEmployment': '0.04845454545454546'}","{'Health': 85936, 'Finance, Insurance & Real Estate': 222882, 'Defense & Global Relations': 31500, 'Agriculture, Food, & Consumer Goods': 47368, 'Labor/Employment': 106500, 'Energy & Transportation': 75983}"
34,0.259,412629,False,House,115,1960-12-30,12,Mike,M,False,Bost,2019-04-08 10:25:08 -0400,,,7.0,0.58,2018,1440 Longworth House Office Building,R,,4,Rep.,IL,,,Representative,0.0,1212.0,93.25,N00035420,B001295,"{'AgFood': '-0.04966666666666667', 'DefenseGlobal': '-0.013559139784946238', 'EnergyTransport': '0.03918518518518519', 'Finance': '-0.06561666666666667', 'Health': '-0.05558730158730159', 'LaborEmployment': '0.0454'}","{'Health': 80828, 'Finance, Insurance & Real Estate': 635006, 'Defense & Global Relations': 19000, 'Agriculture, Food, & Consumer Goods': 246771, 'Labor/Employment': 166500, 'Energy & Transportation': 382955}"
35,-0.397,412652,False,House,115,1977-02-06,13,Brendan,M,False,Boyle,2019-04-08 10:25:08 -0400,,,71.0,5.86,2018,1133 Longworth House Office Building,D,,4,Rep.,PA,,,Representative,2.0,1212.0,94.63,N00035307,B001296,"{'AgFood': '-0.043250000000000004', 'DefenseGlobal': '-0.002800000000000003', 'EnergyTransport': '0.03604166666666666', 'Finance': '-0.03697142857142856', 'Health': '-0.0030851063829787167', 'LaborEmployment': '0.1204'}","{'Health': 116164, 'Finance, Insurance & Real Estate': 269132, 'Defense & Global Relations': 24500, 'Agriculture, Food, & Consumer Goods': 24950, 'Labor/Employment': 239500, 'Energy & Transportation': 93000}"
36,0.518,400046,False,House,115,1955-04-11,8,Kevin,M,False,Brady,2019-04-08 10:25:08 -0400,,,51.0,4.21,2018,1011 Longworth House Office Building,R,,22,Rep.,TX,,,Representative,0.0,1212.0,98.36,N00005883,B000755,"{'AgFood': '0.014736842105263173', 'DefenseGlobal': '0.050805309734513276', 'EnergyTransport': '0.04267716535433071', 'Finance': '-0.09505442176870751', 'Health': '-0.05014285714285714', 'LaborEmployment': '0.022368421052631583'}","{'Health': 913500, 'Finance, Insurance & Real Estate': 1999023, 'Defense & Global Relations': 41500, 'Agriculture, Food, & Consumer Goods': 227757, 'Labor/Employment': 34500, 'Energy & Transportation': 810629}"
37,-0.484,400047,False,House,115,1945-04-07,1,Robert,M,False,Brady,2019-04-08 10:25:08 -0400,,A.,92.0,7.59,2018,2004 Rayburn House Office Building,D,,22,Rep.,PA,,,Representative,1.0,1212.0,95.43,N00001619,B001227,"{'AgFood': '-0.047464285714285716', 'DefenseGlobal': '0.04975757575757575', 'EnergyTransport': '0.021917721518987316', 'Finance': '-0.016540983606557383', 'Health': '0.047589285714285744', 'LaborEmployment': '0.03866666666666666'}","{'Health': 8800, 'Finance, Insurance & Real Estate': 110511, 'Defense & Global Relations': 12000, 'Agriculture, Food, & Consumer Goods': 4700, 'Labor/Employment': 56200, 'Energy & Transportation': 17250}"
38,0.829,412605,False,House,115,1964-07-27,7,David,M,False,Brat,2019-04-08 10:25:08 -0400,,A.,22.0,1.82,2018,1628 Longworth House Office Building,R,,6,Rep.,VA,,,Representative,0.0,1212.0,95.19,N00036013,B001290,"{'AgFood': '-0.0015999999999999923', 'DefenseGlobal': '-0.07018666666666667', 'EnergyTransport': '0.08121505376344085', 'Finance': '-0.10106306306306306', 'Health': '-0.10060714285714285', 'LaborEmployment': '0.014230769230769233'}","{'Health': 86574, 'Finance, Insurance & Real Estate': 514981, 'Defense & Global Relations': 19350, 'Agriculture, Food, & Consumer Goods': 66464, 'Labor/Employment': 0, 'Energy & Transportation': 147875}"
39,0.689,412567,False,House,115,1975-06-15,1,Jim,M,False,Bridenstine,2019-04-08 10:25:08 -0400,,,328.0,38.18,2018,216 Cannon House Office Building,R,,6,Rep.,OK,,,Representative,0.0,859.0,97.72,N00033532,B001283,"{'AgFood': '0.02657142857142857', 'DefenseGlobal': '0.05379166666666666', 'EnergyTransport': '-0.00792999999999999', 'Finance': '-0.1226530612244898', 'Health': '-0.07930357142857143', 'LaborEmployment': '0.018125'}","{'Health': -2500, 'Finance, Insurance & Real Estate': 0, 'Defense & Global Relations': 0, 'Agriculture, Food, & Consumer Goods': 0, 'Labor/Employment': 0, 'Energy & Transportation': -500}"
40,0.376,412539,False,House,115,1960-08-25,5,Susan,F,False,Brooks,2019-04-08 10:25:08 -0400,,,15.0,1.24,2018,1030 Longworth House Office Building,R,,6,Rep.,IN,,,Representative,0.0,1212.0,97.4,N00033495,B001284,"{'AgFood': '-0.010243243243243267', 'DefenseGlobal': '0.04431092436974791', 'EnergyTransport': '0.033426356589147284', 'Finance': '-0.08955921052631582', 'Health': '-0.04560465116279069', 'LaborEmployment': '0.0215'}","{'Health': 276451, 'Finance, Insurance & Real Estate': 378408, 'Defense & Global Relations': 28000, 'Agriculture, Food, & Consumer Goods': 40250, 'Labor/Employment': 18500, 'Energy & Transportation': 135688}"
